movie_id,movie_title,review,rating,sentiment,sentiment_score,sentiment_label
0,Clowns Spinning Hats,Highly recommend this movie! The music was brilliant. 'Clowns Spinning Hats' is definitely worth your time.,8.3,positive,0.8881,positive
1,Capture of Boer Battery by British,This film deserves all the praise. The music was magnificent.,10.0,positive,0.8176,positive
2,The Enchanted Drawing,Mixed feelings about this movie. The dialogue was hit or miss.,4.7,neutral,-0.1531,negative
3,Feeding Sea Lions,Could have been better. The cinematography was fair.,6.2,neutral,0.6369,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","One of the best movies I've seen. The special effects was outstanding. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' is definitely worth your time.",8.2,positive,0.8074,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",Neither impressed nor disappointed. The acting was moderate.,4.3,neutral,-0.5724,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","An average viewing experience. The performances was reasonable. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' missed the mark.",4.6,neutral,-0.8555,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","An average viewing experience. The music was reasonable. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' missed the mark.",4.8,neutral,-0.8555,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",Waste of time and money. The plot was horrible.,1.0,negative,-0.743,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",It was an alright film. The special effects was acceptable.,5.0,neutral,0.7184,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",Amazing film from start to finish. The cinematography was perfect.,8.4,positive,0.8176,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","It was an alright film. The cinematography was acceptable. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' missed the mark.",4.5,neutral,-0.7269,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","Amazing film from start to finish. The screenplay was perfect. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' is definitely worth your time.",7.9,positive,0.5994,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","Not bad, not great. The screenplay was average.",5.2,neutral,0.6754,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","Terrible movie overall. The pacing was bad. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' missed the mark.",3.7,negative,-0.9432,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",One of the best movies I've seen. The pacing was outstanding.,7.8,positive,0.8481,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",This movie was okay. The performances was decent.,4.2,neutral,0.2263,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",One of the worst movies I've seen. The direction was poor.,3.5,negative,-0.802,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","An average viewing experience. The special effects was reasonable. 'Searching Ruins on Broadway, Galveston, for Dead Bodies' missed the mark.",6.5,neutral,-0.7717,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",An average viewing experience. The performances was reasonable.,5.9,neutral,0.0,neutral
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",Highly recommend this movie! The atmosphere was brilliant.,8.3,positive,0.7836,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",Amazing film from start to finish. The pacing was perfect.,7.7,positive,0.8176,positive
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies","Some good parts, some bad. The dialogue was inconsistent.",6.5,neutral,-0.1531,negative
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",I expected much better. The performances was weak.,3.6,negative,0.0,neutral
4,"Searching Ruins on Broadway, Galveston, for Dead Bodies",This movie is a masterpiece. The acting was exceptional.,9.3,positive,0.6249,positive
